측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
단대동,20230912,0.0016,0.0178,0.47,0.0409,33,15
복정동,20230912,0.0021,0.0212,0.46,0.0382,34,15
상대원동,20230912,0.0019,0.0303,0.51,0.0272,31,16
성남대로,20230912,0.0016,0.0343,0.52,0.0251,34,15
운중동,20230912,0.0014,0.0149,0.43,0.034,26,16
수내동,20230912,0.0011,0.0234,0.51,0.0312,28,16
정자동,20230912,0.0018,0.0155,0.43,0.0413,27,17
단대동,20230911,0.0016,0.0192,0.52,0.0401,37,20
복정동,20230911,0.0022,0.0204,0.5,0.0385,37,18
상대원동,20230911,0.002,0.0312,0.56,0.0285,35,19
성남대로,20230911,0.0022,0.0351,0.55,0.0249,36,18
운중동,20230911,0.0015,0.0138,0.49,0.0391,27,15
수내동,20230911,0.0014,0.0234,0.55,0.0344,31,20
정자동,20230911,0.0019,0.0165,0.48,0.0397,28,18
단대동,20230910,0.0016,0.0124,0.52,0.0543,38,20
복정동,20230910,0.0033,0.0163,0.54,0.0508,40,20
상대원동,20230910,0.0021,0.016,0.53,0.0478,35,20
성남대로,20230910,0.0033,0.0291,0.57,0.0359,38,19
운중동,20230910,0.0017,0.0106,0.5,0.0517,31,20
수내동,20230910,0.0015,0.0175,0.58,0.0473,38,21
정자동,20230910,0.0021,0.0115,0.51,0.0544,34,22
단대동,20230909,0.0016,0.018,0.49,0.0466,32,16
복정동,20230909,0.0016,0.0201,0.51,0.0464,36,16
상대원동,20230909,0.002,0.0206,0.47,0.0415,30,15
성남대로,20230909,0.0014,0.0327,0.54,0.033,35,15
운중동,20230909,0.0014,0.015,0.5,0.0464,30,16
수내동,20230909,0.0014,0.0212,0.57,0.0448,34,19
정자동,20230909,0.0019,0.0149,0.5,0.0509,29,18
단대동,20230908,0.0015,0.0129,0.39,0.0364,20,8
복정동,20230908,0.0019,0.0199,0.43,0.0318,24,10
상대원동,20230908,0.0018,0.0194,0.34,0.0314,19,8
성남대로,20230908,0.0021,0.035,0.49,0.0186,24,8
운중동,20230908,0.0012,0.0132,0.44,0.0331,16,7
수내동,20230908,0.0009,0.0209,0.45,0.0307,19,9
정자동,20230908,0.0017,0.0108,0.37,0.041,15,10
단대동,20230907,0.0012,0.005,0.33,0.0367,16,8
복정동,20230907,0.003,0.0048,0.36,0.0386,20,6
