회사명,행정기관명,설립구분명,용지면적(㎡),건축면적(㎡),종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,전화번호,정제우편번호,정제도로명주소,정제지번주소,위도,경도
오픈스택(주),경기도 성남시,일반,306.875,54.863,12,소기업,20150416,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업 외 4 종,"26410, 26421, 26429, 26519, 26529",방송용 Encoder,031-724-4890,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 9층 906-1,37.40550474,127.1510002
성지메디칼,경기도 성남시,일반,301.82,122.56,5,소기업,20080919,도시지역 / 상업지역 / 근린상업지역,대,정형외과용 및 신체보정용 기기 제조업,27192,성형용 실리콘 재료,02-318-3369,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 301호,37.40563669,127.1529544
성진테크(주),경기도 성남시,일반,66,66,5,소기업,20020218,도시지역 / 상업지역 / 일반상업지역,대,배전반 및 전기 자동제어반 제조업,28123,자동제어반,031-709-0885,13504,경기도 성남시 분당구 벌말로 41,경기도 성남시 분당구 야탑동 275-4번지 지층,37.41165842,127.1381008
세너지주식회사,경기도 성남시,일반,0,30,3,소기업,20170720,도시지역 / 상업지역 / 근린상업지역,대,그 외 기타 전자부품 제조업,26299,버너용 콘트롤러,070-4099-7100,13511,경기도 성남시 분당구 판교로 715,경기도 성남시 분당구 야탑동 149-10번지 테크노프라자빌딩 301호,37.40506587,127.1519514
세븐스테이지,경기도 성남시,일반,150.548,100,1,소기업,20200910,도시지역 / 상업지역 / 근린상업지역,대,기타 음향기기 제조업,26529,"무선마이크, 유선마이크, 스피커",031-709-1061,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 6층 604-2호,37.40563669,127.1529544
스피나시스템즈(주),경기도 성남시,일반,215.7,36,6,소기업,20130607,도시지역 / 상업지역 / 근린상업지역,대,컴퓨터 제조업 외 2 종,"26310, 26329, 26519","전자교탁, 통신기기",070-4801-0048,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 5층 504-1,37.40563669,127.1529544
씨와이에이지(주),경기도 성남시,일반,407.19,170,3,소기업,20210222,도시지역 / 상업지역 / 근린상업지역,대,액체 여과기 제조업,29175,나노버블 제조장치,031-701-3828,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 6층 603호,37.40550474,127.1510002
앤티아이,경기도 성남시,일반,25,25,4,소기업,20000612,도시지역 / 상업지역 / 중심상업지역,대,그 외 기타 전자부품 제조업 외 1 종,"26295, 26299",전자제품센서,031-713-9301,13599,경기도 성남시 분당구 돌마로 361,경기도 성남시 분당구 수내동 63-2번지 409B호,37.37061643,127.1229609
(주)로믹코리아(지점),경기도 성남시,일반,105.26,39.66,5,소기업,20200624,도시지역 / 상업지역 / 일반상업지역,대,그 외 기타 의료용 기기 제조업,27199,"의료기기(안와모델, 임플란트모델), 공산품",031-718-2556,13605,경기도 성남시 분당구 돌마로 172,경기도 성남시 분당구 정자동 217번지 분당서울대학교병원 헬스케어혁신파크 분당서울대학교병원 헬스케어혁신파크 2층 H2207호,37.35430407,127.1209761
한국정보기술 주식회사,경기도 성남시,일반,0,94,14,소기업,20210826,도시지역 / 주거지역 / 준주거지역,대,교통 신호장치 제조업 외 14 종,"25112, 25113, 25119, 26295, 26299, 26310, 26329, 26421, 26429, 26519, 26529, 28422, 28423, 28903, 28909","CCTV, 영상기기, 구조용 금속 판제품 및 공작물",031-696-0945,13486,경기도 성남시 분당구 판교로 255,경기도 성남시 분당구 삼평동 622번지 판교이노밸리 제E동 10층 1002호,37.40427938,127.1026122
